userId,country,region
36383,India,Delhi
36720,Japan,Tokyo
36832,India,Madhya Pradesh
37127,Morocco,Casablanca-Settat
37166,Austria,Vienna
37404,United States,California
37594,United States,California
37825,United States,Hawaii
37949,France,Île-de-France
38113,Netherlands,South Holland
38140,Russia,NULL
38165,Egypt,Alexandria Governorate
38178,United States,California
38190,United States,North Carolina
38246,United States,California
38281,Russia,NULL
38345,China,NULL
38544,Japan,Kanagawa
38936,India,Karnataka
39027,United States,California
39147,Australia,New South Wales
39325,Singapore,NULL
39433,United States,Arizona
39470,United States,California
39580,South Africa,Western Cape
39677,South Africa,Gauteng
40313,France,NULL
40584,United States,Indiana
40770,United States,California
40932,Nepal,Central Development Region
40976,United States,NULL
41004,India,Karnataka
41181,United Kingdom,England
41202,United States,California
41254,United States,New York
41285,Colombia,Bogota
41466,United States,Maryland
41471,United States,California
41566,Sweden,Östergötland County
41820,Belarus,Minsk Region
41831,Taiwan,NULL
41959,India,Telangana
42001,Germany,Bavaria
42168,United States,District of Columbia
42178,Singapore,NULL
42245,China,Beijing
42557,China,Shanghai
42686,United States,Indiana
42711,Netherlands,NULL
42736,Russia,NULL
42960,Egypt,Cairo Governorate
42969,United Kingdom,England
43025,United States,Michigan
43302,United States,Maryland
43446,United States,Texas
43496,Canada,Quebec
43581,Canada,Alberta
43621,United States,Massachusetts
43662,Germany,Bavaria
43730,United States,California
43778,Netherlands,North Holland
43867,Austria,NULL
44042,China,Shanghai
44623,United States,California
44703,United States,Virginia
44737,United Kingdom,England
44747,Russia,Novosibirsk Oblast
44775,France,Grand Est
44777,Finland,NULL
44888,United States,New York
80446,United States,NULL
80468,Estonia,Tartu County
80653,United States,NULL
80778,Taiwan,NULL
80924,Albania,Tirana County
80926,Brazil,State of Minas Gerais
81097,United States,NULL
81228,Taiwan,NULL
81254,United Kingdom,NULL
81388,Greece,NULL
81517,Argentina,Buenos Aires
81671,India,Karnataka
81806,Hong Kong,NULL
81971,India,Delhi
81994,Czechia,NULL
82002,Belgium,Flanders
82085,Germany,Bavaria
82092,Netherlands,NULL
82377,United States,California
82442,Canada,Ontario
82469,United States,NULL
82484,Vietnam,NULL
82621,China,NULL
82685,United States,Arizona
82715,Romania,Bucharest
82759,United States,New York
82769,United Kingdom,NULL
82812,Tunisia,NULL
82904,Poland,Pomeranian Voivodeship
82982,India,NULL
83099,China,NULL
83103,United States,NULL
83141,India,NULL
83154,Switzerland,Zurich
83223,United States,NULL
83243,Canada,NULL
83257,Japan,NULL
83264,Norway,Vestland
83267,Australia,Queensland
83334,United States,NULL
83546,United States,Washington
83860,India,Telangana
83923,Turkey,İstanbul
83924,Russia,NULL
83934,United States,NULL
83958,United Kingdom,England
84047,India,Karnataka
84093,United States,NULL
84134,United States,NULL
84160,United Kingdom,NULL
84184,India,NULL
84191,New Zealand,NULL
